,modelname,category,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
143,Low-Temperature Separator Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-110-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-110-2_0.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-110-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-110-2.jpg
144,Magnetic Drive Centrifugal Pump Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-150.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-150.jpg
145,Magnetic Motor Starter Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-910.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-910.jpg
146,Mechanical Fasteners Sample Board,,null,https://tech-labs.com/sites/default/files/product_images/805-PAC.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/805-PAC.jpg
147,Mechanical Speed Variator Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-190.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-190_0.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-190.jpg
148,Motor Load Option,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_419-000.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_419-000%26412.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_419-000.jpg
149,Motorized Multi-Turn Valve Actuator Training,,null,https://tech-labs.com/sites/default/files/product_images/DAC_212-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-212-000-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_212-000-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_212-000.jpg
150,Multi-Pass Fixed Tube Sheet Heat Exchanger Training Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-286.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-286.jpg
151,Multi-Pass Floating Head Heat Exchanger Training Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-287-BackRight.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-287-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-287-BackLeft.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-287-BackRight.jpg
152,"Multi-Stage, Split Case Pump Dissectible",,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-160-PAC.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-160-PAC.jpg
153,Offset In-Line Helical Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-250_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-250_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-250_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-250_Front.jpg
